estado;uf;região
Rondônia;RO;Região Norte
Acre;AC;Região Norte
Amazonas;AM;Região Norte
Roraima;RR;Região Norte
Pará;PA;Região Norte
Amapá;AP;Região Norte
Tocantins;TO;Região Norte
Maranhão;MA;Região Nordeste
Piauí;PI;Região Nordeste
Ceará;CE;Região Nordeste
Rio Grande do Norte;RN;Região Nordeste
Paraíba;PB;Região Nordeste
Pernambuco;PE;Região Nordeste
Alagoas;AL;Região Nordeste
Sergipe;SE;Região Nordeste
Bahia;BA;Região Nordeste
Minas Gerais;MG;Região Sudeste
Espírito Santo;ES;Região Sudeste
Rio de Janeiro;RJ;Região Sudeste
São Paulo;SP;Região Sudeste
Paraná;PR;Região Sul
Santa Catarina;SC;Região Sul
Rio Grande do Sul;RS;Região Sul
Mato Grosso do Sul;MS;Região Centro-Oeste
Mato Grosso;MT;Região Centro-Oeste
Goiás;GO;Região Centro-Oeste
Distrito Federal;DF;Região Centro-Oeste
